method,path,domain,action,summary,func,file,auth_status,enforcement,current_perms,ui_exposed,recommended_perm,recommended_scope,severity,is_mutation,sensitive_kw,roles_with_current_perm
GET,/api/v1/activity-logs,activity_logs,list,Get activity logs with role-based scoping.,get_activity_logs,activity_logs.py,authenticated,NONE,,yes,activity_logs.list,?,🔴,no,role,
GET,/api/v1/activity-types,activity_types,list,קבלת רשימת סוגי פעולות,get_activity_types,activity_types.py,anonymous,NONE,,yes,activity_types.list,all,🔴,no,,
GET,/api/v1/activity-types/{activity_type_id},activity_types,read,קבלת סוג פעולה לפי ID,get_activity_type,activity_types.py,anonymous,NONE,,yes,activity_types.read,all,🔴,no,,
POST,/api/v1/auth/2fa/disable,auth,create,Disable two-factor authentication.,disable_2fa,auth.py,authenticated,NONE,,no,auth.create,global,🔴,yes,,
POST,/api/v1/auth/2fa/setup,auth,create,Setup two-factor authentication — self-service.,setup_2fa,auth.py,authenticated,NONE,,no,auth.create,global,🔴,yes,,
POST,/api/v1/auth/2fa/verify-setup,auth,create,Verify 2FA setup with code — self-service.,verify_2fa_setup,auth.py,authenticated,NONE,,no,auth.create,global,🔴,yes,,
DELETE,/api/v1/auth/biometric/credentials/{credential_id},auth,delete,Delete a biometric credential.,delete_biometric_credential,auth.py,authenticated,NONE,,no,auth.delete,global,🔴,yes,delete,
POST,/api/v1/auth/biometric/register,auth,create,Start biometric registration - return challenge for WebAuthn.,biometric_register_start,auth.py,authenticated,NONE,,no,auth.create,global,🔴,yes,,
POST,/api/v1/auth/biometric/verify,auth,create,Verify and store biometric credential.,biometric_register_verify,auth.py,authenticated,NONE,,no,auth.create,global,🔴,yes,,
POST,/api/v1/auth/change-password,auth,create,Change user password — self-service.,change_password,auth.py,authenticated,NONE,,no,auth.create,global,🔴,yes,,
POST,/api/v1/auth/check-permission,auth,create,Check if user has specific permission.,check_permission,auth.py,authenticated,NONE,,no,auth.create,global,🔴,yes,permission;role,
DELETE,/api/v1/auth/devices/{device_id},auth,delete,Revoke a trusted device. Only the owning user can remove it.,revoke_device,auth.py,authenticated,NONE,,no,auth.delete,global,🔴,yes,delete,
POST,/api/v1/auth/logout,auth,create,Logout user.,logout,auth.py,authenticated,NONE,,no,auth.create,global,🔴,yes,,
DELETE,/api/v1/auth/sessions,auth,delete,Revoke ALL of the current user's active sessions.,revoke_all_sessions,auth.py,authenticated,NONE,,no,auth.delete,global,🔴,yes,delete,
DELETE,/api/v1/auth/sessions/{session_id},auth,delete,Revoke a specific session — owner-only.,revoke_session,auth.py,authenticated,NONE,,no,auth.delete,global,🔴,yes,delete,
GET,/api/v1/auth/status,auth,list,Get authentication status.,get_auth_status,auth.py,authenticated,NONE,,no,auth.list,global,🔴,no,permission;role,
POST,/api/v1/auth/webauthn/register/begin,auth,create,Step 1 of registration: generate PublicKeyCredentialCreationOptions.,webauthn_register_begin,auth.py,authenticated,NONE,,no,auth.create,global,🔴,yes,,
POST,/api/v1/auth/webauthn/register/complete,auth,complete,Step 2 of registration: verify attestation and store credential.,webauthn_register_complete,auth.py,authenticated,NONE,,no,auth.complete,global,🔴,yes,delete,
GET,/api/v1/dashboard/accountant-overview,dashboard,list,"Accountant dashboard — worklogs for review, KPIs, filters.",get_accountant_overview,dashboard.py,authenticated,NONE,,yes,dashboard.list,?,🔴,no,amount;approve;reject,
GET,/api/v1/dashboard/activity,dashboard,list,Recent activity feed for dashboard.,get_dashboard_activity,dashboard.py,authenticated,NONE,,yes,dashboard.list,?,🔴,no,role,
GET,/api/v1/dashboard/alerts,dashboard,list,Get system alerts for dashboard,get_dashboard_alerts,dashboard.py,authenticated,NONE,,yes,dashboard.list,?,🔴,no,amount;spent;role,
